,Job Title,Employer,Salary,Description,Link,Date,Year
2545,Recruitment Coordinator,"Wake County, North Carolina",Hiring Range: $20.19 – $27.26,"Recruitment Coordinator, Wake County, North Carolina— Wake County operates the largest number of Election Day polling places in North Carolina. It takes 2,500+ Precinct Officials to operate our 206 polling places each election and up to 1,200+ Officials to operate Early Voting locations. The Board of Elections Recruitment Coordinator manages the appointment and assignment of Precinct Officials to work in Wake County elections. The Board of Elections Recruitment Coordinator will oversee and assist a team of permanent and temporary employees in performing the following responsibilities: Recruit and assign sufficient Election Official staff to work at 206 Election Day polling places and up to 20 Early Voting Sites; Design and maintain a database of 14,000+ Election Officials; Receive and evaluate Election Official applications in a timely and efficient manner; Receive and process Election Officials’ taxpayer-identification forms; Work closely with political parties and civic groups to recruit new Election Officials; Work and collaborate with a temporary staffing agency to onboard and manage a pool of up to 1,200 Early Voting Officials; Compile and audit weekly timesheets for up to 1,200 Early Voting Officials; Develop and conduct routine audits to ensure Election Official data is accurate; Communicate with Election Official applicants via e-mail, telephone, and in-person correspondence; Draft notices, updates, and other communications for a pool of 14,000+ Election Officials; Maintain a thorough knowledge of federal and state election laws; Calculate costs of supplies, services, and programs to be submitted in the budget; Compile a pay report for all Election Officials who work on Election Day; Ensure compliance with the retention schedule for relevant Election Official documents; Ensure all Election Officials complete required training prior to each new election; Manage the online training system used by Election Officials to register for in-person training and to complete online training;  and Perform routine user uploads of Election Officials to the online training system Salary: Hiring Range: $20.19 – $27.26. Deadline: June 23. Application: For the complete job listing and to apply, click here.",https://ewaketalent.csod.com/ux/ats/careersite/3/home/requisition/2807?c=ewaketalent,06-17,2021
2550,Civic Design Fellowship,Center for Civic Design,,"Civic Design Fellowship, Center for Civic Design— Join us as the 2022 Civic Design Fellow. In a 4-month program, from January to April, you’ll take your interest in democracy as a design problem to the next level, working with the Center for Civic Design team and completing an independent project exploring the intersection of language access and voting participation. The Civic Design Fellowship is an opportunity for an early-career professional in UX or an adjacent field to develop their superpowers and take a step towards a career in civic design and research. During the 4 months of the Fellowship, you will: Work on CCD projects covering a range of topics and methodologies, giving you a well-rounded experience of our work and impact. You’ll contribute your own skills and work alongside staff with a wide range of expertise — including design, research, usability testing, language access, and plain language.; Join our regular team-life meetings and contribute to internal conversations. We use this time to discuss projects and civic or election-related news, tackle design challenges together, and try out new ideas; Conduct your own independent project. You’ll propose a topic during the application process. Then, we’ll help you refine the idea and plan the project. You will have staff support through planning, implementation, and final report. And you’ll leave the Fellowship with a completed project for your civic design resume; and Meet election officials and others working in civic design to learn more about the field. Deadline: November 12. Application: For the complete job listing and to apply, click here.",https://civicdesign.org/about/our-team/fellowship/,10-28,2021
2582,Deputy Elections Administrator,Ohio Secretary of State’s Office,"$76,336 negotiable based on experience","Deputy Elections Administrator, Ohio Secretary of State’s Office— The Ohio Secretary of State is currently seeking candidates for a Deputy Elections Administrator. The duties of the position include but are not limited to: Under general direction of Elections Administrator; manages critical elections operations; reviews, tests, and ensures proper functionality of software applications; assists with defining goals & objectives for Election Division; assists with oversight & direction of all aspects of election administration, including but not limited to reporting by Boards of Elections (BOE) compliance with federal & state mandated programs & procedures; assists Elections Administrator in drafting and reviewing directives, advisories, memoranda & other instruction for use by BOE; supervises staff (e.g., sign off on requests for leave; performance evaluations; approve payroll; manage daily activities). Assists with directing & monitoring all activities of the Elections Division including work flow, release of information by phone or mail, election related research, designing programs to enhance operation of Elections Division; assists with scheduling & implementing responsibilities of each section (e.g., services provided by Election Division, policies & procedures); coordinates election matters with Elections Division legal staff; assists with review of reports, documents, & training materials submitted by BOE. Represents SOS with Boards of Elections in all 88 counties at elections- related conferences, committees, & various meetings pertaining to BOE activities; performs other duties & tasks as assigned. Salary: $76,336 negotiable based on experience. Deadline: December 28. Application: For the complete job listing and to apply, click here.",https://dasstateoh.taleo.net/careersection/oh_ext/jobdetail.ftl?job=210009JK&tz=GMT-05%3A00&tzname=America%2FNew_York,12-16,2021
2588,Elections Division Supervisor,"Lewis and Clark County, Montana",Base Pay: $29.05 – $30.76 / Hour,"Elections Division Supervisor, Lewis and Clark County, Montana— The Treasurer’s Office is recruiting for a Elections Division Supervisor to join their team! Under the general supervision of the Treasurer, Clerk and Recorder, this position supervises the daily activities of the Elections Division of the Clerk/Treasurer’s Office. Duties and Responsibilities: Prepares, supervises and conducts all aspects of elections, including but not limited to federal, state, county, city, school, and special purpose district elections; Monitors legislative processes and changes that would impact operations; Meets election deadlines; Prepares for the opening and closing of candidate filing, receives candidate filing forms; Publishes notices, closes registration, and supervises late registration and in-person absentee voting; Provides supervision and leadership for Elections Department staff; Conducts performance appraisals, approves timecards and participates in recruitment and termination processes; Works with employees to correct deficiencies, including implementing disciplinary decisions; Certifies, orders and proofs ballot layout; Prepares for and oversees the mailing of absentee and mail ballots. Performs receipts, reconciliations, chain of custody, and tabulation of voted absentee and mail ballots; Schedules, staffs, and supplies polling places; Conducts post-election audits and canvass activities for local elections; Maintains voter registration database to include the issuing and processing of voter registration and absentee applications, conducting voter list maintenance in accordance with state and federal law (National Voter Registration Act or NVRA mailings), and maintaining voter history files; Provides and/or coordinates staff training and cross-training; Responds to questions and requests from the public and press; Prepares and posts social media content and maintains website content; Selects and coordinates work with third party vendors; Communicates with local governing bodies on their elections; Assigns and reviews regular and special projects; and Performs other duties as assigned. Salary: Base Pay: $29.05 – $30.76 / Hour. Deadline: December 26. Application: For the complete job listing and to apply, click here.",https://www.lccountymt.gov/hr/jobs.html,12-16,2021
2589,Election Manager/Specialist,"Wayne County, Ohio",,"Election Manager/Specialist, Wayne County, Ohio– The Wayne County Board of Elections is searching for a motivated, civic-minded individual to join our team of Election Officials in either an Election Operations Manager or Election Specialist role. Applicants must be 18 years of age, live in Wayne County (or willing to move to Wayne County within 30 days), and a registered voter. Successful candidate will possess excellent customer service skills, knowledge of Microsoft Programs (Word and Excel), attention to detail, and flexibility to work extended hours as necessary for election administration. Full time employment includes excellent benefit package. Application: All applicants must complete a Wayne County Employment Application. Please forward application documents (cover letter, application, resume’) to Election Position, Wayne County Board of Elections, 200 Vanover Street, Wooster, OH 44691 or via email at Wayne@OhioSoS.gov.",https://www.waynecountyoh.gov/,12-16,2021
2590,Elections Special Project and Training Coordinator,Ohio Secretary of State’s Office,"$59,987 negotiable based on experience","Elections Special Project and Training Coordinator, Ohio Secretary of State’s Office— The Ohio Secretary of State is currently seeking candidates for an Elections Special Project and Training Coordinator. The duties of the position include but are not limited to: Under direct supervision of Deputy Elections Administrator and Elections Administrator; assists in planning, implementing, providing support & administering special projects associated with Elections Division (e.g., Election Night Reporting (“ENR”) system, Election Official Mentorship program, Elections poll worker training programs, Safe at Home); plans, coordinates & executes conferences & trainings related to Elections Division (e.g., Summer Conference, New Election Official Training, Online Poll worker Training); assists in providing liaison services to county Board of Elections (BOE) & other constituents to resolve concerns & identify resolutions to issues. Assist with projects within the elections division (e.g., ballot language, petition processing); independently responds to complex &/or confidential issues & correspondence (e g., BOE; general public inquiries) involving state & federal laws & rules; serves as liaison between Elections Administrator, Elections Counsel & Elections staff in order to convey & implement decisions, policies & procedures of elections-related programs; coordinates & reviews various materials related to elections issues (e.g., preparation of briefing, back-up materials, training requirements); Provides technical assistance with online poll worker training (e.g. password reset). ; reviews office forms & referral projects. Other duties as assigned (e.g., assist data entry; scanning documents; retention of records & filing; organize office; sort mail); responds to general inquiries from the public & directs inquiries to other staff members when appropriate. Salary: $59,987 negotiable based on experience. Deadline: December 28. Application: For the complete job listing and to apply, click here.",https://dasstateoh.taleo.net/careersection/oh_ext/jobdetail.ftl?job=210009JB&tz=GMT-05%3A00&tzname=America%2FNew_York,12-16,2021
2596,Administrator II,Maryland State Board of Elections,"$50,971 – $81,596","Administrator II, Maryland State Board of Elections— The Administrator position in the Election Reform and Management Division assists the Director and Deputy Director implementing, managing and supporting various projects related to the election process and improving election administration in Maryland. The duties will include on-going compliance with the Help America Vote Act, Uniformed and Overseas Citizens Absentee Voting Act, Military and Overseas Voter Empowerment Act, and other federal election laws and any federal funds awarded to the State under these laws. This position will develop and oversee the statewide training and education program for elections officials and judges, including development and issuance of a statewide Elections Judges’ Manual, training curriculum, and an online training system/module. Salary: $50,971 – $81,596. Deadline: October 8. Application: For the complete job listing and to apply, click here.",https://www.jobapscloud.com/MD/sup/bulpreview.asp?R1=21&R2=002587&R3=0069,10-07,2021
2597,Assistant County Registrar,"Contra Costa County, California","$120,695-$161, 743","Assistant County Registrar, Contra Costa County, California— Contra Costa County is recruiting for an experienced Assistant County Registrar, with a proven track record, to join our exceptional elections team. This at-will position reports directly to the elected County Clerk Recorder-Registrar through the Chief Operating Officer and directs the Elections Division’s day-to-day operations, under general direction from the elected Department Head and Chief Operating Officer. This position is responsible for managing the processes of registering county voters, maintaining voter precincts and voter files, conducting Federal, State, County, and local elections on behalf of the County’s residents. The Assistant Registrar administers local provisions of campaign finance requirements and monitors and analyzes the impact of legislation on the election process. Candidate must be familiar with election law and code; initiative, referendum, and recall petition processes as well as compliance with all election laws and timelines. The Assistant Registrar position handles the administration of the Elections Division, including budget development and adherence, personnel development, supervision,  and performance management. The position will ensure that all electoral processes are conducted in a fair and transparent manner, consistently demonstrating integrity, neutrality, and non-partisan decision-making. In addition to a customer service focus, demonstrating,  promoting, and developing leadership values and skills are core responsibilities, as department  staff are key assets of the organization. The Elections Division operates with a ~$16 million annual budget, has approximately 30 full-time staff, and can include up to 100 temporary staff and 2,000  volunteers during peak election cycles. Salary: $120,695-$161, 743. Deadline: October 18. Application: For the complete job listing and to apply, click here.",http://www.ralphandersen.com/jobs/assistant-county-registrar-contra-costa-co-ca/,10-07,2021
2599,City Clerk,"West Sacramento, California","$113,868-$138,384","City Clerk, West Sacramento, California— The City of West Sacramento is actively recruiting for a City Clerk to lead the City  Clerk’s Office! Candidates should have knowledge of State Elections Code; the  California Public Records Act; State Government Code as it pertains to the office  of City Clerk; filing provisions of the State Fair Political Practices Commission; the  Brown Act; principles and practices of modern public administration; organization  and functions of municipal government, including the roles of a Council/Manager  form of government; principles and practices of records management, including  records retention laws; modern office practices and procedures including  business correspondence, filing and standard equipment operation, including audio-visual equipment.  The City Clerk plans, organizes, and directs all functions and responsibilities of the  City Clerk’s office as specified by the City Council and as required by law. The City  Clerk is an at-will position that is appointed by and sits at the pleasure of the City  Manager.  This position receives general supervision from the Assistant City Manager or  their designee, and may supervise professional level staff, as well as clerical,  technical and temporary staff. Salary: $113,868-$138,384. Deadline: October 17. Application: For the complete job listing and to apply, click here.",https://www.cpshr.us/recruitment/1855,10-07,2021
2605,Management Analyst III,"Fairfax County, Virginia",,"Management Analyst III, Fairfax County, Virginia— Serves as Administrative Division Director in a fast paced, high performing elections and voter registration agency. Independently performs a wide range of professional-level work related to personnel, financial management, budget, planning, physical security, and physical resource management. Plans and implements all phases of administrative support to election activities to ensure compliance with federal, state and county laws and procedures including fiscal controls, purchasing, budgeting, facilities planning and management, recruiting and hiring, payroll, personnel rules and practices, and training and staffing. This position works under the direction of the General Registrar and specific duties include but are not limited to:Directs and supervises professional and seasonal employees who perform fiscal and human resources duties in support of the agency, to include developing and implementing written policies and procedures for fiscal and personnel activities; Develops and manages agency budget and purchasing in coordination with the General Registrar; Participates in strategic planning and budget development; researches and evaluates new technology and equipment, and serves as project manager for the acquisition and implementation of new systems or equipment; Develops and administers internal space plan and physical security plan for the agency, to include acquiring, reserving and managing work and warehouse spaces, regulating access to offices, files, keys, databases, warehouse and other sensitive locations and materials. Communicates security initiatives to staff; Coordinates related activities with other agency departments, state board of elections, county agencies, federal agencies, and vendors; and Manages, directs and supervises professional staff.  Deadline: October 8. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/fairfaxcounty/jobs/3244655/management-analyst-iii?keywords=Management%20Analyst%20III&pagetype=jobOpportunitiesJobs,10-07,2021
2606,Registrar of Voters,"San Joaquin County, California","$124,215- $150,984","Registrar of Voters, San Joaquin County, California— San Joaquin County is seeking an experienced and dedicated professional to join the executive team to provide strong leadership and administrative oversight of the Registrar of Voters Office. This is an executive, department head level position which reports directly to the County Administrator and is responsible for planning, organizing and directing the work of the Registrar/Elections staff. The Registrar manages all phases of the election process and should have an in-depth understanding of the Elections Code and have demonstrated experience in management, supervision, employee development, budgets and activities of an Elections Office. The ideal candidate is expected to provide strategic management of the Registrar of Voters Office and must model strong work ethics and leadership skills, including accountability for oneself and others. Salary: $124,215- $150,984. Deadline: October 15. Application: For the complete job listing and to apply, click here.",https://www.jobapscloud.com/SJQ/sup/bulpreview.asp?R1=0921&R2=HB1500&R3=EX,10-07,2021
2624,Elections Director,"Boulder County, Colorado","Hiring Range: $89,256 – $128,544","Elections Director, Boulder County, Colorado— The Boulder County Clerk and Recorder’s Office has an opening for an Elections Director that serves at the pleasure of and reports directly to the elected Clerk and Recorder. The Elections Director position is within the Deputy of Elections job classification. The Elections Director is one of the office’s six Leadership Team members, third in command of the Clerk and Recorder organization and oversees a staff of twelve permanent Elections Staff members (and upwards of 600 election judges during certain election times). The Elections Division provides comprehensive elections services for Boulder County, including voter records, voter services, ballot processing, technical and logistical support, and end-to end election administration. Commitment to building an inclusive, forward looking, continual improvement, and supportive work culture is required. This position leads the team and is accountable for the execution of compliant, accurate, accessible and transparent elections for a county of nearly 250,000 voters. This position will ensure the integrity and accuracy of the election management processes in accordance with federal and state laws, Secretary of State rules and Clerk and Recorder policies. Salary: Hiring Range: $89,256 – $128,544. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/boulder/jobs/3172035/elections-director?pagetype=jobOpportunitiesJobs,08-26,2021
2625,Executive Director,South Carolina Election Commission,"$114,933 – $178,168","Executive Director, South Carolina Election Commission— The Executive Director is the chief executive officer of the State Election Commission and has the responsibility for the overall direction and management of the Agency, ensuring the mission, goals and objectives are accomplished. The Executive Director also serves as the chief state election official for the State. The position has supervisory authority over county boards of voter registration and elections and is responsible for the oversight of the statewide voter registration system, conduct of elections, certification of election results, hearing election protests and appeals, statewide electronic voting system and administration of mandatory training and certification program for county election officials. Provides supervisory authority over county boards of registration and elections. Oversees statewide voter registration system, statewide voting system and other election related technologies used to conduct elections. Oversees a compliance audit program of county boards.  Keeps commission members informed about election related matters, commission meetings, election certifications and protests and appeals. Establishes policies and sets strategic direction of the agency. Works with public and private partners to protect the state’s critical election infrastructure. Ensures agency operates efficiently, cost effectively and according to state fiscal and human resources guidelines and state law. Oversees public relations and agency outreach efforts to ensure the agency maintains a positive public image. Serves as liaison with General Assembly. Attends legislative meetings, presents testimony and budget requests. Represents the agency with advocacy groups, political parties, partners and other customers. Oversees statewide training efforts for county and municipal election officials and poll workers. Seeks opportunities for agency growth, innovation and improvement. Salary: $114,933 – $178,168. Deadline: September 7. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/sc/jobs/3182721/executive-director,08-26,2021
2627,Election Services Specialist,"Contra Costa County, California ","$57,122.04 – $69,432.12","Election Services Specialist, Contra Costa County, California — Are you an innovator and high achiever? Service driven? Dedicated to quality? The Contra Costa County Clerk-Recorder’s Office, Elections Division is currently recruiting an Elections Services Specialist. The Elections Services Specialist position will be assigned to one of the functional sections of the Elections Division as a Voter Services Specialist, Candidate Specialist, Election Day Operations Specialist, Precinct/Mapping Services Specialist, Warehouse Specialist, or IT and Voting System Operations Specialist. Salary: $57,122.04 – $69,432.12. Deadlines: Sept. 5.  Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/contracosta/jobs/3147140/elections-services-specialist,08-26,2021
2628,Election Services Technician,"Contra Costa County, California","$50,024.40 – $60,804.96","Election Services Technician, Contra Costa County, California— The Contra Costa County Clerk-Recorder’s Office, Elections Division is currently recruiting for two (2) Voters Services Technicians. The Elections Services Technician position will be assigned to one of the functional sections of the Elections Division as described below: As a Voter Services Technician, you will: Conduct daily processing of voter information in database systems Perform vote by mail functions including processing voter requests for ballots and signature verification of returned ballots; Examine petitions and conducts signature verification of petitions; Review voter eligibility and assists in processing provisional ballots; and Provide phone, in-person, and email customer services. Salary: $50,024.40 – $60,804.96. Deadline: Sept. 5. Application: for the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/contracosta/jobs/3146776/elections-services-technician,08-26,2021
2632,Poll Worker Coordinator,"Hillsborough County, Florida","$36,000-$46,000, Deadline: September 16","Poll Worker Coordinator, Hillsborough County, Florida— These may include but are not limited to poll worker record maintenance, developing process and writing procedures, training and mentoring temporary staff, implementation of services, and back-up to management on daily tasks and supervision of staff. Coordinate poll worker recruitment, assignments, and scheduling. Provide oversight, audit and instruction to temporary employees on data entry and maintenance of poll worker records. Process and audit poll worker applications entered into the database for accuracy. Process poll worker payroll and training related forms. Assist in analyzing and resolving issues with poll worker applications, assignment requests, training completions, and other Poll Worker Services areas. Provide supervision, training and instruction to temporary staff. Champion and implement paperless workflows using available technologies, resources and tools. Communicate internally with other department and outside agencies. Respond to poll worker inquiries via email, text message, phone, or face to face. Provide friendly, courteous customer service and resolve issues in a timely manner. Assist, as needed, with securing training facilities, Early Voting sites, and Election Day polling places. The Supervisor of Elections will require all applicants scheduled to attend an on-boarding session on or after August 30, 2021 to show proof of being fully vaccinated before their employment can begin. Fully vaccinated is two full weeks after final vaccination shot. Salary: $36,000-$46,000, Deadline: September 16. Application: For the complete job listing and to apply, click here.",https://www.appone.com/MainInfoReq.asp?R_ID=3891451,08-26,2021
2637,Voter Registration Specialist,"Wake County, North Carolina Board of Elections",Hiring Range: $17.49 – $23.60,"Voter Registration Specialist, Wake County, North Carolina Board of Elections— The Wake County Board of Elections is currently seeking an experienced customer service professional to join our Voter Registration Team. The ideal candidate will be a detail-oriented, data entry guru with exceptional attention to detail and organizational skills. As a part of the Voter Registration Team, you are responsible for connecting written information with computer data. Salary: Hiring Range: $17.49 – $23.60. Application: For the complete job listing and to apply, click here.",https://ewaketalent.csod.com/ux/ats/careersite/3/home/requisition/2962?c=ewaketalent,08-26,2021
2662,Election Data Specialist,"Boulder County, Colorado","$66,324.00 – $95,496","Election Data Specialist, Boulder County, Colorado— Boulder County Elections has an opening for an Elections Data Specialist position. Our team is committed to setting the state and nationwide gold standard for what an accurate, transparent, organized, and efficient election looks like, and this position is critical to our success in fulfilling that aim. Note: experience with elections is not required – we are looking for someone who has experience and a passion for data and will train the successful candidate on elections. The Elections Division is committed to continual improvement, and we are looking for a team member who can help strengthen our team and our work by overseeing mission-critical process areas that demonstrate accountability to the public while also assuring data integrity.  As a member of the election team, this position will be expected to emulate behaviors that demonstrate a commitment to all Clerk and Recorder values, including and not limited to equity, inclusion, accountability, and integrity. Throughout the year, this position works closely with all division staff as well as other election partners; and the ability to form effective, collaborative, communicative working relationships with fellow teammates while under tight deadlines and requirements is a must. This is a crucial role on our 13-member team who must work closely with team members to demonstrate the integrity of our elections to the public while providing robust and inclusive service to the voters of Boulder County. Salary: $66,324.00 – $95,496. Deadline: July 28. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/boulder/jobs/3151427/election-data-specialist?page=1&pagetype=jobOpportunitiesJobs,07-22,2021
2678,Departmental Analyst,Michigan Department of State,$21.66 – $33.95 Hourly,"Departmental Analyst, Michigan Department of State— This position serves as the Disclosure and Filings Analyst within the Disclosure, Filings and Compliance Division within the Bureau of Elections, Michigan Department of State. The Division is responsible for administering the Michigan Campaign Finance Act, Lobbyist Registration Act, Casino Registration Act and Michigan Election Law. The Analyst will support the Division’s functions through research and analysis of disclosure reports, campaign statements and ballot-access filings, with emphasis on working cooperatively to address deficiencies and correct noncompliant filings; developing and updating training materials and user manuals; and providing training to the regulated community. Salary: $21.66 – $33.95 Hourly. Deadline: June 8. Application: For a complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/michigan/jobs/2957484/departmental-analyst-9-p11-disclosure-filings-and-compliance-division,06-03,2021
2680,General Registrar,"Prince William County, Virginia",,"General Registrar, Prince William County, Virginia— The Prince William County Electoral Board is seeking a General Registrar to provide leadership and management in the Office of Elections in Prince William County, Virginia.  We are one of Virginia’s fastest-growing counties with a diverse population of 470,000 citizens and over 300,000 registered voters.  The General Registrar is an appointed state employee and sworn official with overall responsibility for administering the provisions of Virginia election laws under guidelines established by the State Board of Elections and the Prince William County Electoral Board, including the duties and powers of the General Registrar as stated in Title 24.2 of the Code of Virginia and in compliance with other federal, state and local laws and policies.  With yearly and frequent elections, the General Registrar is responsible for the oversight of a large and complex voter registration and election administration agency with approximately 20 full-time employees and more than 1,000 election officers.  The General Registrar consults with, advises and reports to the Prince William County Electoral Board on all issues relative to election administration and voter registration. The General Registrar, working with the Electoral Board identifies suitable polling places, acquires and test voting and other equipment, recruits and trains Officers of Election, and obtains technical support and financial resources. Deadline: June 16. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/pwcgov/jobs/3048343/general-registrar?pagetype=jobOpportunitiesJobs,06-03,2021
2683,Training Coordinator,"Hillsborough County, Florida","Starting salary $36,000-$46,000 annually","Training Coordinator, Hillsborough County, Florida— The Supervisor of Elections administers all federal, state, county, municipal and special district elections in Hillsborough County. It’s our responsibility to process all voter registration applications received from qualified Florida residents, and also to educate Hillsborough County residents about registering to vote. We issue Voter Information Cards to all newly registered voters, and reissue those cards when there are changes to a voter’s registration information or polling place. Maintaining our voter database is a huge undertaking and one we take great care with. We hold countywide elections, as well as municipal elections for the City of Tampa, Plant City and Temple Terrace, and work with the county and municipalities periodically on reapportionment, redistricting and drawing precinct boundaries. Candidates for county, district and special district offices file and qualify for candidacy with our office. We also receive the forms and financial reports that candidates, committees and political parties are required to file. And our office verifies and certifies all petition signatures for candidates and ballot initiatives. The Training Coordinator is responsible for leading training programs and other special projects within the department of Poll Worker Services and Training. These may include but are not limited to developing processes and writing procedures, training and coaching temporary staff, implementation of services, polling place and poll worker record maintenance, and back-up to management on daily tasks. Salary: Starting salary $36,000-$46,000 annually. Deadline: June 11. Application: For the complete job listing and to apply, click here.",https://www.appone.com/MainInfoReq.asp?R_ID=3636302,06-03,2021
2688,Campaign Finance Director,North Carolina State Board of Elections,,"Campaign Finance Director, North Carolina State Board of Elections— The primary purpose of this position is to oversee the agency’s administration of campaign finance disclosure, auditing, and the non-compliance process, supervise the program analysts and disclosure specialists, and develop processes, procedures, policies, and training for the laws and regulations for state and county campaign finance administration and for committee treasurers, candidates, and other regulated entities. This position works collaboratively with other agency divisions including Election Administration, Training & Outreach, Business Operations, Legal, and Investigations. The position works closely with the Associate General Counsel focused on campaign finance to ensure policies and procedures are legally compliant. This position works with legal and investigations to provide input on campaign finance investigations. It also provides recommendations on policies, advisory opinions, and investigations to the agency’s executive director and board members as needed. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/northcarolina/jobs/3063582/campaign-finance-director,05-13,2021
2697,General Registrar,"Prince William County, Virginia",,"General Registrar, Prince William County, Virginia— The General Registrar is an appointed state employee and sworn official with overall responsibility for administering the provisions of Virginia election laws under guidelines established by the State Board of Elections and the Prince William County Electoral Board, including the duties and powers of the General Registrar as stated in Title 24.2 of the Code of Virginia and in compliance with other federal, state and local laws and policies. With yearly and frequent elections, the General Registrar is responsible for the oversight of a large and complex voter registration and election administration agency with approximately 20 full-time employees and more than 1,000 election officers. The General Registrar consults with, advises and reports to the Prince William County Electoral Board on all issues relative to election administration and voter registration. The General Registrar, working with the Electoral Board identifies suitable polling places, acquires and test voting and other equipment, recruits and trains Officers of Election, and obtains technical support and financial resources. Learn more about us on a virtual tour by clicking here. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/pwcgov/jobs/3048343/general-registrar?keywords=registrar&pagetype=jobOpportunitiesJobs,05-13,2021
2698,Operations Manager,Michigan Department of State,"$80,864 – $116,315","Operations Manager, Michigan Department of State— This position serves to manage and support the Bureau of Election’s (BOE) Operations Section, including external and internal operations and performance activities. The purpose is to optimize the BOE’s daily functions and the performance and quality of BOE functions and external partner activities. This position supports BOE by managing vendor relationships, liaising with other State agencies and offices, managing grant and equipment distribution to local jurisdictions, overseeing special projects (including process improvements), serving as the main logistics point-of-contact for the Secretary of State website and phone functions (external), as well as for Department of State press and constituent relations questions. The position also provides second level supervision and leadership for the Data and Programs Unit within the Operations Section of BOE. The Data and Programs unit manages the Qualified Voter File, including the street index, ballot administration and candidate listing application, equipment, resource, and security implementation, along with analytics and requests and process tracking. Salary: $80,864 – $116,315. Deadline: May 19. Application: For the complete job listing and to apply, click here.",https://www.governmentjobs.com/careers/michigan/jobs/3070533/state-administrative-manager-15-elections-operations-manager?pagetype=jobOpportunitiesJobs,05-13,2021
2699,Policy Associate,National Conference of State Legislatures,"$4,199 /month","Policy Associate, National Conference of State Legislatures— The policy associate will work in NCSL’s Elections and Redistricting Program in NCSL’s Denver office. Broadly, this position includes research, analysis and program/meeting planning related to election administration. Primary duties will include collecting and maintaining data related to election legislation; responding to research requests; maintaining webpages and other internal and external resources; coordinating speakers, agendas and logistics for meetings; and developing connections with state legislators, legislative staff and subject-area experts. Public speaking will be minimal at the beginning but will expand with experience. The policy associate will work under the direction of supervisors and in collaboration with other Elections and Redistricting team members. The policy associate may also have responsibility for independent research projects, databases or webpages. All major work products will be reviewed by senior professionals or project managers. Travel several times a year will be expected. Salary: $4,199 /month. Application: For the complete job listing and to apply, click here.",https://recruiting2.ultipro.com/NAT1060NATS/JobBoard/2a60216b-c3d4-44bc-8412-88e21e324b41/OpportunityDetail?opportunityId=3061d514-f8c6-4fec-bb3b-c78d4fccfff2,05-13,2021
2707,Director of Elections & Voter Services,"Minneapolis, Minnesota","$112,139.04 – $132,934.88","Director of Elections & Voter Services (Assistant City Clerk), Minneapolis, Minnesota— We’re a division of the Office of the City Clerk. We administer local, state, and federal elections for Minneapolis voters. Our estimated population is 430,000 with about 270,000 registered voters. We champion civic participation for all Minneapolis citizens through accurate, fair, and accessible elections. We strive to be leaders in election administration through innovation and collaboration. As the largest and most vibrant city in the state, Minneapolis depends on purposeful, dedicated and innovative employees. Minneapolis has a large variety of careers for people of all experiences and backgrounds who come together for a singular purpose—serving the residents, businesses and visitors of Minneapolis. The Assistant City Clerk is responsible for the direction of a business line in the City Clerk’s Office, including acting as the Responsible Authority and Data Compliance Official, Chief Elections Official, or Chief Legislative Officer. Responsibilities includes: Direction of a business line, including developing strategic goals with the City Clerk Council/Council Leadership; and developing, implementing, and maintaining programs to implement those goals; Manage multiple competing projects of varying complexity across the department and enterprise; Manage the daily operations of the department, including budget, financial, personnel issues, departmental business plans, involvement in Council office matters, and various special projects; Develop, implement, and manage initiatives that improve the service delivery to City administration, and the public; Develop strategic goals with the City Clerk; and develop, implement, and maintain programs to implement those goals; Collaborate with the City Clerk on the preparation of annual budgets, budget presentations, emergency operations and continuity of operations plans; Oversee the preparation of reports, research efforts, planning documents and presentations to elected officials, stakeholder groups and the public; Supervise divisional staff, delegating, coaching, and developing the staff’s professional expertise, and fostering an atmosphere that values the rewards responsiveness, innovation, thoroughness and professionalism; Establish and maintain effective organizational and public relations through the development and implementation of outreach and engagement plans, including hosting events and presenting to the public; Partner and provide professional consultation to City leadership, departments, and other partners, internal and external to the City enterprise; Research, and respond to Mayor and Council Member inquiries and issues independently, including complex requests from policy-makers, the media, and the public involving significant amounts of data or sensitive data; Manage multiple competing projects of varying complexity across the department and enterprise; Oversee and ensure the Implementation of program goals and objectives; Work with the City Clerk regarding support, discipline. and discharge of staff from the department, and when handling controversial or politically sensitive issues; Provide leadership of department-wide initiatives and City-wide initiatives, and oversight of financial decisions for the City Clerk’s Office; Establish and enforce administrative policies, procedures, and standards for the Office; and Act as the City Clerk as assigned. Salary: $112,139.04 – $132,934.88. Deadline: December 5. Application: For the complete job listing and to apply, click here.",https://www.minneapolismn.gov/government/jobs/job-openings/apply-for-a-job/,11-11,2021
