text_quality_assigned,junk_reason,year,job_title,employer,full_text_length,stub_description,full_text,reviewer_verdict,reviewer_notes
junk_full_text,too_short: 154 chars,2023,Policy Associate,National Conference of State Legislatures,154.0,"Policy Associate, National Conference of State Legislatures— NCSL’s Redistricting and Elections program is looking for a dynamic and flexible Policy Associate with demonstrated competence in legislative research and analysis of state election issues, including election administration, restricting, campaign finance and other related policy areas. Specifically, the ideal candidate should be able to ","Please click
here
if you are not redirected within a few seconds.
If you're having trouble accessing Google Search, please
click here
, or send
feedback
.",,
junk_full_text,too_short: 146 chars,2018,Data Manager,The New York City Campaign Finance Board,146.0,"Data Manager, The New York City Campaign Finance Board — the New York City Campaign Finance Board seeks a Data Manager to collect and maintain data related to voter participation, election administration, and campaign finance and serve as the agency’s Open Data Coordinator. This position will report to the Deputy Director of Public Affairs. Responsibilities include: Maintain and document data mana","Server Error
403 - Forbidden: Access is denied.
You do not have permission to view this directory or page using the credentials that you supplied.",,
junk_full_text,error_string: '404',2014,Elections Administrator,Wise County,158.0,"Elections Administrator, Wise County, Texas — position is responsible for the conduct of all non-primary, federal, state, county and contracted elections. Other responsibilities include: Ensuring all elections are accurate; conduct adults of voter registration records; monitoring voter registration activities in compliance with state and federal laws; and supervising elections administrator’s offi","Server Error
404 - File or directory not found.
The resource you are looking for might have been removed, had its name changed, or is temporarily unavailable.",,
junk_full_text,too_short: 146 chars,2019,Global Election Technology and Cybersecurity Advisor,IFES,146.0,"Global Election Technology and Cybersecurity Advisor, IFES — IFES seeks a Global Election Technology and Cybersecurity Advisor to counter evolving threats to democratic processes stemming from changes in election technology and cyber vulnerabilities. This individual will work closely with frontline defenders and elections experts around the world to help democratic institutions flourish in the fac","Server Error
403 - Forbidden: Access is denied.
You do not have permission to view this directory or page using the credentials that you supplied.",,
junk_full_text,too_short: 402 chars,2019,Investigations and Legal Specialist,Oregon Secretary of State’s Office,402.0,"Investigations and Legal Specialist, Oregon Secretary of State’s Office–The Oregon Secretary of State is seeking applicants for an Investigations and Legal Specialist to support and assist the Elections Division. The work in this division is neutral and non-partisan, but often fast paced with a wide variety of responsibilities, tasks, and projects. The successful applicant will be primarily respon","That Trail's Gone Cold!
Page Content
Sorry, friend. We’ve lost the page you’re seeking.
Did you follow a link? Use a bookmark? Type in the Web address?
Links and bookmarks may be outdated, URLs get misspelled, or content has been moved or removed.
Get Back on Course
Try our site search at the top right.
Start over on the Home page.
Send us an email and we’ll try and point you in the right direction.",,
junk_full_text,too_short: 116 chars,2022,Deputy Elections Counsel,Ohio Secretary of State,116.0,"Deputy Elections Counsel, Ohio Secretary of State— Under general direction of Senior Elections Counsel; serves as counsel for all Secretary of State (SOS) divisions on elections related laws; drafts, reviews & edits directives, advisories, memoranda & other elections materials; advises SOS divisional personnel on all aspects of elections-related law; prepares reports (e.g., division activity); pro","For applicant support and additional information about employment with the State of Ohio, return to Careers.Ohio.Gov",,
junk_full_text,too_short: 286 chars,2019,Assurance Engineer,Free & Fair,286.0,"Assurance Engineer, Free & Fair — Free & Fair (F&F) seeks an experienced assurance engineer—a developer who is thrilled to work on high-assurance open source elections technologies that demonstrate what is possible with modern applied formal methods-based development processes, methodologies, tools, and techniques. Our focus on national critical infrastructure, transparent engineering, and formal ","Home
Projects
VoteSecure SDK: Mobile Voting Core Cryptography
ElectionGuard SDK: End-to-End Verifiable Voting
DARPA SSITH Secure Hardware Demo
Risk Limiting Audits
Qubie, the poll queue monitor
About
Blog
In the News
Articles
Contact
Search
Privacy Preference Center
Privacy Preferences",,
junk_full_text,too_short: 161 chars,2015,Elections Administrator,Grays Harbor County,161.0,"Elections Administrator, Grays Harbor County, Washington — the Election Administrator is responsible for all aspects of elections, voter registration, and supervision of other election workers for federal, state, and local elections occurring within Grays Harbor County. Salary: $3,761-$4,560. Deadline: Open until filled. Application: For the complete job listing and to apply click here. For questi","latest newssee all news
09-11-2025
Bridge Postings and Closures
09-11-2025
Comprehensive Land Use Plan Update
09-10-2025
Notice of Vacancies - Volunteers Needed!",,
junk_full_text,too_short: 234 chars,2012,Communications Manager,Pew Center on the States,234.0,"Communications Manager, Pew Center on the States, Washington, D.C. – position offers a unique opportunity for an individual to contribute to exciting, high-profile initiatives. This position, based in Pew’s Washington, D.C. office, reports to the Pew Center on the States’ Senior Officer, Communications and is part of the staff of Pew’s communications department. The communications manager is respo","https://jobs-pct.icims.com/This site is unavailable.If you believe this is in error, please contact the HR department of the organization you were attempting to apply to.For other job seeker related questions, please see our FAQ here.",,
junk_full_text,error_string: '404',2021,Deputy Elections Administrator,Dallas County,554.0,"Deputy Elections Administrator, Dallas County, Texas— Assists with the direction and oversight of absentee mail voting, early voting, and election day voting for 1.1 million registered voters; ensures the voter registration rolls are accurate and complete; and assists in the oversight of the campaign finance files for candidates and office holders. Coordinates with the County IT Department in mana","Error 404--Not Found |
From RFC 2068 Hypertext Transfer Protocol -- HTTP/1.1:10.4.5 404 Not FoundThe server has not found anything matching the Request-URI. No indication is given of whether the condition is temporary or permanent. If the server does not wish to make this information available to the client, the status code 403 (Forbidden) can be used instead. The 410 (Gone) status code SHOULD be used if the server knows, through some internally configurable mechanism, that an old resource is permanently unavailable and has no forwarding address. |",,
junk_full_text,too_short: 341 chars,2011,Assistant City Clerk,Minneapolis,341.0,"Assistant City Clerk, Minneapolis — direct, manage, organize, coordinate, plan and conduct accurate, timely and efficient local state and federal elections within the corporate boundaries of the City of Minneapolis. Supervise all elections staff, seasonal/temporary personnel, election judges, interns and others, and all related activities, and participate in voter outreach and engagement strategie","Jobs at the City
We depend on our dedicated and talented employees at the City of Minneapolis. Learn more about working with us.
Serving Communities. Building Careers.
I want to
Explore this section
Contact us
Human Resources
Phone
Address
City Hall350 S. 5th St., Room 1
Minneapolis, MN 55415
Office hours
8 a.m. – 4:30 p.m.
Monday – Friday",,
stub_only,,2012,Temporary Elections Assistant,Hennepin County,,"Temporary Elections Assistant, Hennepin County, Minn. — assist Terri Garner
<
>
",,,
stub_only,,2011,Election Protection Coordinator,The Lawyer’s Committee,,"Election Protection Coordinator, The Lawyer’s Committee, Washington, D.C. kcoates@lawyerscommittee.org Deadline:Oct. 7.",,,
stub_only,,2011,,,,"Aug. 30, 2011.",,,
stub_only,,2011,IT Specialist,Federal Voting Assistance Program,,"IT Specialist, Federal Voting Assistance Program
<
>
",,,
stub_only,,2011,,,,mmoretti@electionline.org. Job postings must be received by 5pm on Wednesday in order to appear in the Thursday newsletter. Listings will run for three weeks or till the deadline listed in the posting.,,,
