row_index,text_used,job_title,employer,state,salary_low_end,salary_high_end,pay_basis,skill_categories_required,skill_categories_preferred,skill_categories_mentioned,election_security_explicit,degree_required,degree_field,min_years_experience,experience_can_substitute,certifications_required,certifications_preferred,certifications_substitutable,job_classification,classification_confidence,position_elected,full_time,remote_hybrid,registered_voters,text_confidence
275,full_text,Election Services Representative,Fort Orange Press,NY,23.0,32.0,hourly,comms|pm,,comms|pm,False,,,2.0,,,,,not_election_official,high,,True,on_site,,high
276,stub,Elections Administrator III,Vermont Secretary of State's Office,Vermont,30.39,,hourly,legal|ops|comms,,legal|ops|data|personnel|comms,False,,,,,,,,election_official,high,False,,,,high
277,stub,Elections Technical Lead,Utah County,Utah,22.25,25.58,hourly,it_cyber|data,,it_cyber|data|ops,False,,,,,,,,election_official,high,False,,,,high
278,stub,Elections Technology Specialist,McLennan County,Texas,20.61,31.71,hourly,it_cyber|ops,,it_cyber|ops,False,,,,,,,,election_official,high,,,,,high
279,full_text,Training Manager,Charleston County Government,South Carolina,64209.0,84146.0,yearly,ops|personnel|comms|data,,ops|personnel|comms|data|legal,False,bachelor,,3.0,,State Certification within 18 months of hire date|CERA Certified within 4 Years of Employment,,,election_official,high,False,True,,,high
280,stub,Voter Registration Administrator,"City and County of Denver, Office of the Clerk and Recorder, Elections Division",Colorado,65523.0,86818.0,yearly,vr|legal|personnel|data,,vr|legal|personnel|data|ops|intergovt|comms,False,,,,,,,,election_official,high,False,,,,high
281,stub,"Advocacy Campaign Strategist, Elections and Government Program",The Brennan Center for Justice,,,,,,,pm|comms|intergovt,False,,,,,,,,not_election_official,high,,,,,high
282,stub,Deputy Director,Davie County Board of Elections,North Carolina,39000.0,,yearly,ops|vr|data,,ops|vr|data|comms|legal,False,,,,,,,,election_official,high,,True,,,high
283,full_text,Voter Services Manager,Arapahoe County,Colorado,73441.94,117316.94,yearly,vr|ops|legal|data|personnel|budget,comms,vr|ops|legal|data|pm|personnel|budget|comms|intergovt|gis,False,high_school,,3.0,True,,,,election_official,high,False,True,hybrid,,high
284,full_text,Departmental Technician 7-E9 - Elections Help Desk Unit,State of Michigan,Michigan,46904.0,64438.4,yearly,comms|legal,,ops|legal|comms,False,high_school,,1.0,True,,,,election_official,high,False,True,hybrid,,high
285,full_text,Departmental Specialist 13 - Security & Standards Section - Emerging Topics Specialist,State of Michigan,Michigan,64604.8,96428.8,yearly,ops|intergovt,,ops|intergovt|legal,True,bachelor,any,4.0,True,,,,election_official,high,False,True,hybrid,,high
286,stub,Senior Regional Engagements Specialist,Center for Internet Security (CIS) / EI-ISAC,,69100.0,104600.0,yearly,,,it_cyber|intergovt|comms,True,,,,,,,,not_election_official,high,False,True,remote,,medium
287,stub,Director of Campaign Finance & Elections,Vermont Secretary of State's Office,Vermont,44.59,57.33,hourly,ops|legal|it_cyber|personnel|intergovt,data|comms|pm,ops|vr|legal|it_cyber|data|pm|personnel|comms|intergovt,True,,,,,,,,top_election_official,high,False,True,,,high
288,stub,"Elections Specialist, Bilingual (Chinese, Russian, Vietnamese or Ukrainian)",Clackamas County Clerk's Office,Oregon,44641.0,56179.0,yearly,ops|vr|comms|bilingual,,ops|vr|comms|intergovt|bilingual,False,,,,,,,,election_official,high,False,,,,high
289,stub,Human Resources Supervisor,Maricopa County Recorder's Office,Arizona,65000.0,112000.0,yearly,personnel,,personnel,False,,,,,,,,election_official,high,,,,2500000.0,high
290,stub,National Elections Supervisor,Pacifica Foundation,,,,,ops|pm|data|budget|comms,personnel,ops|pm|data|budget|comms|personnel,False,,,,,,,,not_election_official,high,,,,,high
291,full_text,Senior Elections Investigator,North Carolina State Board of Elections,North Carolina,59752.0,104566.0,yearly,legal|data|personnel|intergovt|comms,,legal|data|personnel|intergovt|comms|ops,False,bachelor,"Criminal Justice, Accounting, Business Administration, Public Administration, or related field",4.0,True,,,,election_official,high,False,True,hybrid,,high
292,stub,Training and Education Coordinator,Pima County,Arizona,54863.0,65836.0,yearly,comms|personnel|data,legal,comms|personnel|data|legal|ops,False,,,,,,,,election_official,high,False,,,,high
293,stub,"Associate Director, Elections Project",Bipartisan Policy Center,,110000.0,130000.0,yearly,legal|intergovt,comms|pm|personnel|budget,legal|intergovt|comms|pm|personnel|budget,False,,,,,,,,not_election_official,high,False,True,,,high
294,full_text,Election Assistant,Olmsted County,Minnesota,20.13,26.88,hourly,ops|data,,ops|data|comms,False,high_school,,0.5,True,,,,election_official,high,False,False,on_site,,high
295,stub,"Fellow, Governance",R Street Institute,,,,,,legal|comms|intergovt,legal|comms|intergovt,True,,,,,,,,not_election_official,high,False,,,,high
296,stub,"Election Specialist, Candidate Services",Palm Beach County,Florida,21.63,24.04,hourly,legal|data|ops,,legal|data|ops|pm,False,,,,,,,,election_official,high,False,,,,high
297,full_text,Senior Election Subject Matter Expert,U.S. Election Assistance Commission (EAC),,99200.0,133692.0,yearly,legal|intergovt,,data|legal|intergovt|comms,False,bachelor,,,,,,,not_election_official,high,False,,,,high
298,full_text,Communications Representative 12 - Bureau of Elections Information Specialist,"State of Michigan, Department of State",Michigan,60424.0,88316.8,yearly,comms,,comms,False,bachelor,"English, journalism, communications, broadcasting, telecommunications, advertising, communication arts, marketing, public relations, or a related field",3.0,False,,,,election_official,high,False,True,hybrid,,high
299,stub,Elections Director,"Burke County, North Carolina",North Carolina,69639.0,83567.0,yearly,ops|vr|legal|personnel|budget|comms,,ops|vr|legal|personnel|budget|comms|intergovt,False,,,,,,,,top_election_official,high,,,,,high
300,full_text,Elections Division Director,Travis County,Texas,99345.18,129148.73,yearly,ops|legal|it_cyber|budget|personnel|pm|comms|intergovt,,ops|legal|it_cyber|budget|personnel|pm|comms|intergovt|data,False,bachelor,"Public Administration, Business Administration, Business Management, Government, Political Science or directly related field",5.0,True,Valid Texas Driver's License,,,top_election_official,high,False,True,on_site,,high
301,stub,Operations Associate,NASED,,,,,,ops|budget|comms|pm,ops|budget|comms|pm,False,,,,,,,,not_election_official,high,False,False,remote,,high
302,stub,Elections Logistics Coordinator,Multnomah County Department of Community Services,Oregon,33.69,41.35,hourly,ops|budget|pm,comms|personnel,ops|budget|pm|comms|personnel,False,,,,,,,,election_official,high,False,True,,,high
303,stub,Voting Rights Associate,Common Cause,California,70000.0,85000.0,yearly,,,comms|pm|intergovt,False,,,,,,,,not_election_official,high,,True,remote,,high
304,stub,Deputy Director,Davie County Board of Elections,North Carolina,39000.0,,yearly,ops|vr|data,comms,ops|vr|data|comms,False,,,,,,,,election_official,high,False,True,,,high
305,stub,Election Protection Hotline Specialist,Lawyers' Committee for Civil Rights Under Law,,,,,comms|personnel|data,it_cyber,comms|personnel|data|it_cyber,False,,,,,,,,not_election_official,high,False,,,,high
306,stub,Information Technology Security Analyst,Illinois State Board of Elections,Illinois,,,,it_cyber|data,,it_cyber|data|comms|intergovt,True,,,,,,,,election_official,high,False,,,,high
307,stub,Rules and Hearings Coordinator,Oregon Secretary of State,Oregon,6016.0,9800.0,monthly,legal,,legal|comms|intergovt,False,,,,,,,,election_official,high,False,True,,,high
308,full_text,Departmental Technician 7-E9 - Metrics Tech,"State of Michigan, Department of State",Michigan,46904.0,64438.4,yearly,data,,data|it_cyber,False,high_school,,1.0,True,,,,election_official,high,False,True,hybrid,,high
309,full_text,General Office Assistant 5-E7 - Operations Assistant,"State of Michigan, Department of State",Michigan,41100.8,58177.6,yearly,ops|budget|data,comms,ops|budget|data|comms|personnel,False,high_school,,2.0,False,,,,not_election_official,high,False,True,on_site,,high
310,full_text,Election Supplies Coordinator,Fairfax County,Virginia,48617.09,81028.48,yearly,ops|data,ops|data|personnel|pm,ops|data|personnel|pm|bilingual,False,high_school,,3.0,True,,,,election_official,high,False,True,hybrid,,high
311,stub,FOIA and Records Retention Officer,Virginia Department of Elections,Virginia,0.0,72000.0,yearly,,,legal|data|comms|intergovt,False,,,,,,,,election_official,high,False,,,,high
312,full_text,Voting Equipment & Logistics Assistant Manager,Fairfax County,Virginia,53265.06,88775.02,yearly,ops|personnel|it_cyber,ops|personnel|data|pm|bilingual,ops|personnel|it_cyber|data|pm|bilingual,True,high_school,,4.0,True,Valid driver's license|Registered voter in Virginia or ability to become one within 30 days,,,election_official,high,False,True,hybrid,,high
313,full_text,Departmental Analyst (Trainee) 9-P11 - Training and Election Assistance,State of Michigan Department of State,Michigan,54766.4,81806.4,yearly,legal|comms|data,ops|personnel|pm|it_cyber,it_cyber|ops|pm|personnel|legal|comms|data,False,bachelor,any,0.0,True,,,,election_official,high,False,True,on_site,,high
314,stub,"Advocacy Campaign Strategist, Elections and Government Program",Brennan Center for Justice,,,,,,,pm|comms|legal|intergovt,False,,,,,,,,not_election_official,high,False,,,,high
315,stub,"Counsel, Elections and Government Program (Research and Policy)",Brennan Center for Justice,,,,,legal|data,comms|personnel,legal|data|comms|personnel,False,,,,,,,,not_election_official,high,False,,on_site,,high
316,stub,"Counsel, Elections and Government Program",Brennan Center for Justice,,,,,legal,comms|data,legal|comms|data,True,,,,,,,,not_election_official,high,False,,on_site,,high
317,full_text,Departmental Analyst Trainee-P11 - Disclosure and Compliance Section,Michigan Department of State,Michigan,47923.2,77916.8,yearly,legal|data,,legal|data,False,bachelor,any,2.0,True,,,,election_official,high,False,True,hybrid,,high
318,stub,Election Support Specialist,Adecco,California,24.0,24.0,hourly,,,ops|it_cyber,False,,,,,,,,election_official,high,False,False,on_site,,high
319,stub,Elections Candidate Coordinator,Buncombe County Election Services,North Carolina,23.38,27.31,hourly,legal,,legal|data|comms,False,,,,,,,,election_official,high,False,,,,high
320,stub,Elections Technician II,Pima County,Arizona,19.14,22.49,hourly,,,ops|legal|personnel|intergovt|gis,False,,,,,,,,election_official,high,False,,,,high
321,stub,Elections Technology Specialist,McLennan County,Texas,20.61,31.71,hourly,it_cyber|ops,,it_cyber|ops,False,,,,,,,,election_official,high,,,,,high
322,stub,Program Officer,William and Flora Hewlett Foundation,California,195000.0,223000.0,yearly,,,intergovt|comms|budget|pm,False,,,,,,,,not_election_official,high,,,,,high
323,stub,Registrar of Voters,San Bernardino County,California,153504.0,218004.0,yearly,vr|ops|comms|legal,,vr|ops|comms|legal|intergovt,False,,,,,,,,top_election_official,high,False,True,,,high
324,stub,"Senior Director, Climate and Democracy",Alta Futures,,225000.0,275000.0,yearly,,,pm|intergovt|data,False,,,,,,,,not_election_official,high,False,,,,high
325,full_text,Special Data Assistant to the Deputy Secretary for Elections,"Commonwealth of Pennsylvania, Department of State",Pennsylvania,110240.0,163893.0,yearly,data|it_cyber,data,data|it_cyber|intergovt,True,bachelor,"data science, business analytics, computer science, computer information systems, management information systems, accounting, finance, mathematics, statistics, economics",,True,,,,election_official,high,False,True,hybrid,,high
326,full_text,Training Manager,"Charleston County Government, Board of Voter Registration &amp; Elections",South Carolina,64209.0,84146.0,yearly,ops|personnel|data|comms|legal,,ops|personnel|data|comms|legal|pm,False,bachelor,,3.0,,State Certification within 18 months of hire date|CERA Certified within 4 Years of Employment,,,election_official,high,False,True,,,high
327,stub,Training and Education Coordinator,Pima County,Arizona,54863.0,65836.0,yearly,personnel|comms|data,,ops|legal|personnel|data|comms,False,,,,,,,,election_official,high,False,True,on_site,,high
328,full_text,Voter Outreach & Communications Coordinator,City of Minneapolis,Minnesota,30.06,38.67,hourly,comms|data|personnel,comms|ops,comms|data|ops|personnel,False,high_school,,3.0,True,,,,election_official,high,False,False,on_site,244000.0,high
329,stub,Voter Registration Administrator,"City and County of Denver, Election Division",Colorado,65523.0,86818.0,yearly,vr|ops|legal|personnel,comms|intergovt|data,vr|ops|legal|personnel|comms|intergovt|data|pm,False,,,,,,,,election_official,high,False,,,,high
330,stub,Assistant Election Supervisor,"Bartow County, Georgia",Georgia,51771.0,63107.0,yearly,vr|ops|legal|personnel|comms|intergovt,,vr|ops|legal|data|personnel|comms|intergovt|budget,False,,,,,,,,election_official,high,False,True,,,high
331,full_text,Departmental Analyst 9-P11 - Data & Programs Section,"State of Michigan, Department of State",Michigan,52208.0,81806.4,yearly,vr|data,gis|it_cyber,vr|gis|it_cyber|data,False,bachelor,any,2.0,True,,,,election_official,high,False,True,hybrid,,high
332,stub,"Deputy Director, Rhode Island Board of Elections",Rhode Island Board of Elections,Rhode Island,101756.0,116916.0,yearly,ops|personnel|pm,,ops|personnel|pm,False,,,,,,,,top_election_official,high,,,,,high
333,stub,Elections and Registration Specialist,Virginia Department of Elections,Virginia,,65000.0,,legal|vr|ops,,legal|vr|ops|intergovt,True,,,,,,,,election_official,high,,,,,high
334,stub,Registrar of Voters,San Bernardino County,California,153504.0,218004.0,yearly,ops|vr|comms|intergovt,ops|vr|comms|intergovt|legal,ops|vr|comms|intergovt|legal|personnel|budget,False,,,,,,,,top_election_official,high,False,,,,high
335,full_text,Voter Services Manager,Arapahoe County,Colorado,73441.94,117316.94,yearly,vr|personnel|ops|data,legal|budget|pm,vr|personnel|ops|data|legal|budget|pm|intergovt|comms,False,high_school,,3.0,True,,,,election_official,high,False,True,hybrid,,high
336,full_text,Administrative Specialist II (Elections Specialist - Chinese),King County Elections,WA,27.03,34.4,hourly,ops|data|comms|bilingual,,ops|vr|data|comms|bilingual,False,,,,,,,,election_official,high,False,True,on_site,1400000.0,high
337,stub,"Campaign Manager/Director, Supreme Court Reform",Brennan Center for Justice at NYU School of Law,New York,90000.0,140000.0,yearly,,,legal|comms|pm,False,,,,,,,,not_election_official,high,,,,,high
338,full_text,"Deputy County Clerk, III",Boone County Government,Missouri,18.04,27.06,hourly,vr|ops|personnel,,vr|ops|personnel|data,False,bachelor,,,True,,,,election_official,high,False,True,on_site,,high
339,full_text,Elections Operation Manager,Boone County Government,Missouri,20.92,31.38,hourly,ops|it_cyber,,ops|it_cyber|personnel|budget,True,,,5.0,True,,,,election_official,high,False,True,on_site,,high
340,stub,Election & Registration Services Supervisor,Virginia Department of Elections,Virginia,,95000.0,,ops|vr|legal|pm|personnel,,ops|vr|legal|pm|personnel|comms|intergovt,False,,,,,,,,top_election_official,high,False,,,,high
341,full_text,Elections Manager,County of San Diego,California,81328.0,107868.8,yearly,ops|pm|budget|personnel,,ops|vr|legal|pm|budget|personnel|gis|it_cyber,True,bachelor,"public administration, business administration, or closely related field",3.0,True,,,,election_official,high,False,True,on_site,,high
342,full_text,Elections & Recording Manager,Lane County,Oregon,78312.0,115128.0,yearly,ops|vr|legal|data|pm|personnel|budget|comms|intergovt,ops|vr|legal|data|pm|personnel|budget|comms,ops|vr|legal|data|pm|personnel|budget|comms|intergovt,False,bachelor,related field,5.0,True,,,,election_official,high,False,True,hybrid,300000.0,high
343,full_text,Elections and Recording Supervisor,Lane County,Oregon,72176.0,106184.0,yearly,ops|vr|personnel|pm,,ops|vr|personnel|pm|legal|comms,False,bachelor,related field,3.0,True,,,,election_official,high,False,True,hybrid,,high
344,stub,List Maintenance Data Quality Analyst,Virginia Department of Elections,Virginia,,110000.0,,vr|data,,vr|data|ops|legal,False,,,,,,,,election_official,high,,,,,high
345,stub,Senior Program Associate,The Carter Center,,,,,pm|budget,comms|data|personnel,pm|budget|comms|data|personnel,False,,,,,,HEAT,,not_election_official,high,False,,,,high
346,stub,Support System Analyst,Virginia Department of Elections,Virginia,,85000.0,,it_cyber,,it_cyber|data|pm|comms,False,,,,,,,,election_official,high,,,,,high
347,full_text,Absentee Voting Program Specialist,North Carolina State Board of Elections,North Carolina,51616.0,90328.0,yearly,ops|legal|it_cyber|data|personnel|comms|intergovt,,ops|legal|it_cyber|data|personnel|comms|intergovt,False,high_school,"public policy, political science, business administration",4.0,True,,,,election_official,high,False,True,hybrid,,high
348,stub,Elections Technician II,Pima County,Arizona,19.14,22.49,hourly,ops|personnel,,ops|personnel|legal|gis|comms|intergovt,False,,,,,,,,election_official,high,False,,,,high
349,full_text,Training Manager,Charleston County Government,South Carolina,64209.0,84146.0,yearly,ops|personnel|data|comms,,ops|personnel|data|comms|legal,False,bachelor,,3.0,False,State Certification|CERA Certified,,,election_official,high,False,True,,,high
350,full_text,Departmental Analyst Trainee - P11 - Filing & Canvassing Section,Michigan Department of State,Michigan,50315.2,81806.4,yearly,legal|data,comms,legal|comms|data,False,bachelor,any,0.0,True,,,,election_official,high,False,True,on_site,,high
351,full_text,Departmental Analyst 12 - Security & Standards Section,State of Michigan,Michigan,52208.0,88316.8,yearly,data|legal,,data|legal|intergovt|comms,True,bachelor,,3.0,,,,,election_official,high,,True,hybrid,1600.0,high
352,stub,"Executive Director, Common Cause Georgia",Common Cause,Georgia,110000.0,130000.0,yearly,,,legal|comms|intergovt|personnel|pm,False,,,,,,,,not_election_official,high,,,on_site,,high
353,stub,Deputy Director-Dem,Delaware County Board of Elections,Ohio,125000.0,130000.0,yearly,ops|budget|legal|personnel,,ops|legal|budget|personnel,False,,,,,,,,top_election_official,high,,True,,,high
354,stub,Customer Success Representative,Voting Works,New Hampshire,56000.0,80000.0,yearly,,,ops|it_cyber|comms|personnel,False,,,,,,,,not_election_official,high,False,,hybrid,,high
355,stub,Voter Registration Integrity Analyst (Limited Duration),Oregon Department of Transportation,Oregon,6901.0,10161.0,monthly,vr|data,comms|intergovt,vr|data|comms|intergovt|legal,True,,,,,,,,election_official,high,False,,,,high
356,full_text,Departmental Analyst 12 - Training & Election Assistance Section,"State of Michigan, Department of State",Michigan,52208.0,88316.8,yearly,ops|comms|personnel,it_cyber|legal,ops|comms|personnel|it_cyber|legal|data,False,bachelor,any,3.0,,,,,election_official,high,False,True,hybrid,,high
357,full_text,Election Outreach Administrator or Senior Outreach Administrator,Arapahoe County,Colorado,51771.2,85367.88,yearly,comms|personnel,bilingual,intergovt|pm|comms|personnel|legal|ops|bilingual,False,bachelor,"Public Administration, Communications or related field",1.0,True,,,,election_official,high,False,True,hybrid,,high
358,full_text,ADA Support and Elections Compliance Specialist,"State of Colorado - Department of State, Elections Division",Colorado,56028.0,68000.0,yearly,ops|legal|comms|intergovt,data|pm,intergovt|comms|pm|legal|ops|data,True,,,,,,,,election_official,high,False,True,hybrid,,high
359,full_text,Elections Equipment/Operations Analyst,Jackson County (NC),North Carolina,40694.1,40694.1,yearly,ops|vr|legal|it_cyber|data|personnel|comms|intergovt,,ops|vr|legal|it_cyber|data|personnel|comms|intergovt,False,high_school,"paralegal science, business administration, political science",2.0,True,North Carolina driver's license,,,election_official,high,False,True,on_site,,high
360,stub,"Senior Director, Election Law Program",William & Mary Law School / National Center for State Courts,Virginia,110000.0,125000.0,yearly,legal,,legal|data|pm|personnel|budget|comms|intergovt,False,master,Law,,,,,,not_election_official,high,False,,,,high
361,full_text,Training Manager,Charleston County Government,South Carolina,64209.0,84146.0,yearly,ops|personnel|comms|data,,ops|personnel|comms|data|legal,False,bachelor,,3.0,,State Certification within 18 months of hire date|CERA Certified within 4 Years of Employment,,,election_official,high,False,True,,,high
362,stub,WorkElections Fellowship Coordinator,Fair Elections Center,,,,,,,personnel|comms|ops,False,,,,,,,,not_election_official,high,False,,,,high
363,full_text,Election Manager,Olmsted County,Minnesota,74214.4,123968.0,yearly,ops|vr|legal|data|personnel|comms|intergovt,personnel|ops,ops|vr|legal|it_cyber|data|personnel|comms|intergovt,True,bachelor,"political science, business administration, public administration or related field",2.0,True,Election Administration Certification in Minnesota,,,election_official,high,False,True,on_site,,high
364,stub,Elections Coordinator,Kaufman County,Texas,52769.0,52869.0,yearly,ops|vr|data|pm|personnel|budget,,ops|vr|legal|data|pm|personnel|budget|comms|intergovt,False,,,,,,,,election_official,high,False,True,,,high
365,stub,IT Assistant Manager,Palm Beach County,Florida,,,,it_cyber|pm|budget|personnel,,it_cyber|pm|budget|personnel|ops,True,,,,,,,,election_official,high,False,,,,high
366,stub,Investigations Manager,Oregon Secretary of State's Office,Oregon,6551.0,11280.0,monthly,legal|personnel|ops,,legal|personnel|ops|intergovt,False,,,,,,,,election_official,high,,,,,high
367,full_text,Departmental Technician - Bureau of Elections Help Desk Agent,State of Michigan,Michigan,46904.0,64438.4,yearly,ops|legal|comms,,ops|legal|comms,False,high_school,,1.0,True,,,,not_election_official,high,False,True,hybrid,,high
368,full_text,Deputy Election Administrator,Yellowstone County,Montana,49645.44,58406.4,yearly,ops|it_cyber|personnel|comms,budget|legal|vr,ops|it_cyber|personnel|comms|budget|legal|vr,False,bachelor,"Public Administration, Political Science, or Business Management",4.0,True,Valid Driver's License issued by the State of Montana,,,election_official,high,False,True,on_site,,high
369,full_text,Departmental Specialist - Election Project & Contract Specialist,"State of Michigan, Department of State, Bureau of Elections",Michigan,64604.8,96428.8,yearly,pm|data,,pm|data|vr|it_cyber|ops,True,bachelor,,4.0,True,,,,election_official,high,False,True,hybrid,,high
370,full_text,City Clerk,City of Vernon,California,189584.0,230441.0,yearly,ops|legal|data|personnel,comms,personnel|ops|legal|comms|data,False,,,,,,,,top_election_official,high,False,True,hybrid,,high
371,full_text,State Administrative Manager 15 - Litigation and Enforcement Manager,"State of Michigan, Department of State",Michigan,93681.0,134751.0,yearly,legal|intergovt,,legal|intergovt,False,bachelor,,4.0,True,,,,top_election_official,high,,True,hybrid,,high
372,full_text,Assistant Absentee By Mail Supervisor,Cobb County Government,Georgia,41589.85,53027.06,yearly,ops|personnel|data,ops,ops|data|personnel,True,high_school,,3.0,True,,,,election_official,high,False,True,on_site,,high
373,stub,Cybersecurity Junior Analyst,Palm Beach County Supervisor of Elections Office,Florida,,,,it_cyber,,it_cyber,True,,,,,,,,election_official,high,False,,,,high
374,stub,GIS Specialist,Palm Beach County,Florida,,,,gis|data|it_cyber,,gis|data|it_cyber|vr,False,,,,,,,,election_official,high,,,,,high
375,stub,Physical Security Specialist,Palm Beach County Supervisor of Elections Office,Florida,,,,ops|it_cyber,,ops|it_cyber,True,,,,,,,,election_official,high,False,,,,high
376,full_text,Administrative Specialist II (Elections Specialist - Chinese),King County Elections,WA,27.03,34.4,hourly,data|ops|comms|bilingual,,data|ops|comms|bilingual,False,,,,,,,,election_official,high,False,True,on_site,1400000.0,high
377,full_text,Deputy County Clerk,Boone County Government,Missouri,18.04,27.06,hourly,personnel|vr|ops|comms,,personnel|vr|ops|comms|data,False,bachelor,"English, history, or political science",,True,,,,election_official,high,,True,,,high
378,full_text,Elections Operation Manager,Boone County Government,Missouri,20.92,31.38,hourly,ops|it_cyber,,ops|it_cyber|personnel,True,,,5.0,True,,,,election_official,high,False,True,on_site,,high
379,full_text,Administrative Specialist II (Elections Specialist - Vietnamese),King County,Washington,25.6,32.58,hourly,data|vr|comms,ops|bilingual,ops|vr|comms|bilingual|data,False,,,,,,,,election_official,high,False,True,on_site,1400000.0,high
380,stub,Policy and Compliance Administrator,"Office of the Clerk and Recorder, Denver",Colorado,65523.0,108113.0,yearly,legal|ops|comms,,legal|ops|comms|intergovt,False,,,,,,,,election_official,high,False,,,,high
381,full_text,Voter Registration Coordinator,Denton County,Texas,50388.0,58450.0,yearly,vr|data|personnel|ops|intergovt,,vr|data|personnel|ops|intergovt|pm,False,high_school,,4.0,True,,,,election_official,high,False,True,,,high
382,stub,Director of Elections,Greene County Board of Commissioners,Georgia,,,,ops|personnel,,ops|personnel,False,,,,,,,,top_election_official,high,False,,,,high
383,full_text,Election Operations Specialist,Clark County Election Department,Nevada,24.07,37.36,hourly,ops|personnel|budget|data,personnel,ops|personnel|budget|data|comms,False,associate,,1.0,True,Nevada Class C Driver's License,,,election_official,high,False,False,on_site,,high
384,stub,Elections Administrator,Pinellas County,Florida,100000.0,120000.0,yearly,ops|legal|personnel|pm,,ops|legal|personnel|pm|comms,False,,,,,,CERA|FCEP|JD|MBA,,top_election_official,high,,,,,high
385,stub,Ranked Choice Voting Project Manager,Multnomah County Elections Division,Oregon,42.58,52.42,hourly,pm|comms,intergovt|bilingual,comms|bilingual|pm|intergovt,False,,,,,,,,election_official,high,False,,,,high
386,stub,Voting System Specialist I,Illinois State Board of Elections,Illinois,3750.0,5834.0,monthly,it_cyber|ops|legal,,it_cyber|ops|legal|vr|data|intergovt|comms,True,,,,,,,,election_official,high,,,,,high
387,stub,Assistant Manager-Poll Worker Department,Palm Beach County Supervisor of Elections,Florida,,,,ops|personnel|pm,,ops|personnel|pm|legal,False,,,,,,,,election_official,high,False,,,,high
388,full_text,Chief Deputy Registrar of Voters,San Bernardino County,California,87984.0,125299.2,yearly,ops|vr|legal|pm|personnel|budget|comms,data,ops|vr|legal|pm|personnel|budget|comms|data,False,bachelor,"Business or Public Administration, or other relevant field",3.0,True,,Certified Election and Registration Administration (CERA),,top_election_official,high,False,True,on_site,,high
389,stub,Communications Director,Nonprofit VOTE,,75000.0,90000.0,yearly,,comms,comms|vr,False,,,,,,,,not_election_official,high,False,,,,high
390,stub,Digital and Multimedia Specialist,Issue One,,58000.0,70000.0,yearly,,,comms|data,False,,,,,,,,not_election_official,high,,,,,high
391,full_text,Director of Elections &amp; Registration,Cobb County Government,Georgia,110217.89,181859.52,yearly,ops|vr|legal|personnel|budget|comms|intergovt,pm|data,pm|legal|ops|data|intergovt|budget|personnel|vr|comms,False,bachelor,"Public Administration, Operations Management or related field",10.0,True,Georgia Election Official|Georgia Voter Registrar,Certified Elections Registration Administrator (CERA),,top_election_official,high,False,True,on_site,,high
392,full_text,Election Certification & Training Program Manager,"State of Washington, Secretary of State's Office",Washington,83000.0,93000.0,yearly,ops|legal|pm|personnel|budget|intergovt,,ops|legal|pm|personnel|budget|intergovt|comms,True,,,,,,,,top_election_official,high,False,True,on_site,,high
393,full_text,Election Review Specialist / Program Specialist 4,"State of Washington, Office of the Secretary of State",Washington,57324.0,77028.0,yearly,ops|legal|intergovt|personnel|comms|data,,ops|legal|intergovt|personnel|comms|data,False,,,4.0,False,,Elections Administrator Certification,,election_official,high,False,True,,,high
394,full_text,Elections Specialist - Ballot Processing,Pierce County,Washington,33.62,42.52,hourly,ops|personnel|vr,,ops|vr|data|pm|personnel|comms,False,,,4.0,True,,Elections Administrator,,election_official,high,False,True,,550000.0,high
395,stub,Executive Director,Missouri Association of County Clerks and Election Officials (MACCEA),Missouri,55000.0,65000.0,yearly,,pm|comms,pm|comms|intergovt,False,,,,,,,,not_election_official,high,False,False,,,high
396,stub,Legal Counsel II,Illinois State Board of Elections,Illinois,6250.0,8521.0,monthly,legal,,legal|comms,False,,,,,,,,not_election_official,high,False,True,,,high
397,stub,Philanthropy-Organizer Consultant,Nonprofit VOTE,,,,,,,comms|intergovt,False,,,,,,,,not_election_official,high,,,,,high
398,stub,Senior Election Specialist – Voter Services,"Johnson County, Kansas",Kansas,,,,vr|ops|gis,,vr|ops|gis|personnel,False,,,,,,,,election_official,high,,,,,high
399,stub,System Administrator,Sarasota County,Florida,40996.0,87630.0,yearly,,,it_cyber|data|pm,False,,,,,,,,not_election_official,high,False,,,,high
400,stub,Chief Deputy Registrar,City of Lexington,Virginia,22.86,24.09,hourly,ops|vr|legal|it_cyber,,ops|vr|legal|it_cyber|budget|personnel,True,,,,,,,,election_official,high,False,True,,,high
401,full_text,Communications Manager,King County Department of Elections,Washington,114167.25,144713.92,yearly,comms|personnel|pm,data,budget|pm|personnel|comms|data,False,bachelor,"Communications, Journalism",,,,,,election_official,high,False,True,on_site,1400000.0,high
402,stub,Compliance Specialist 2,Oregon Secretary of State's Office,Oregon,,,,legal|data|comms,,legal|data|comms,False,,,,,,,,election_official,high,,,,,high
403,stub,Departmental Training Coordinator,DeKalb County,Georgia,52815.0,81862.0,yearly,,,personnel|comms|data,False,,,,,,,,not_election_official,high,,,,,high
404,stub,IT Specialist,Leon County Supervisor of Elections,Florida,,,,it_cyber,comms,it_cyber|comms,True,,,,,,,,election_official,high,False,True,on_site,,high
405,stub,Technical Trainer (Operations & Policy Analyst 3),Oregon Secretary of State's Office,Oregon,,,,vr|it_cyber|comms|personnel,,vr|it_cyber|comms|personnel,True,,,,,,,,election_official,high,False,,,,high
